Job Title,Job Description,Extracted Skills
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","instagram, twitter, advertising, brand awareness, schedule, scheduling, facebook, platforms, engage, content, brand, analytics, engagement, social media managers, drive, social advertising, analyze, social media, metrics, community engagement"
Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","design, web, javascript, user experience, css, react, ux, angular, interfaces, developers, html"
Operations Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","service quality, organization, iso, statistical, root cause, quality control managers, management, process control, root, analysis, iso 9001, quality management, process, quality standards, root cause analysis, compliance, quality control, regulatory, corrective actions, statistical process control (spc)"
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.","design, architecture, protocols, engineers, wireless security, troubleshooting, communications, connectivity, network design, security, optimization, wireless, security protocols"
Event Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.","budget, conferences, management, events, budgeting, logistics, catering, vendor coordination, marketing, event planning, plan, conference logistics, vendors, budget management"
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","quality standards, software, testing, quality assurance analyst, resolve, bug tracking, test case, quality assurance processes, reporting, regression testing, quality assurance, case, teams"
Teacher,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.","differentiated instruction, management, learning, assessment, classroom management, pedagogy, classroom, curriculum development, instruction, teaching, learning environment"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","design, focus, adobe, illustrator, interfaces, interactive, visual design, elements, layout, responsive design, photoshop, design principles, ui, digital, design tools, typography, other, visual, graphic design, color, color theory, adobe photoshop, principles"
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"system, design, user behavior, interaction design, wireframing, digital, prototyping, principles, responses, psychology, interfaces, design principles, collaborative"
Wedding Planner,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.","budget, wedding planning, budget management, weddings, wedding, vendor coordination, management"
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.","testing, software, performance testing, analysis, scalability, stress testing, load testing, test scenarios, load, performance analysis, benchmarking, conducting"
Litigation Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","court, family, legal counseling, family law, mediation legal, adoption, legal matters, mediation, legal, attorneys"
Mechanical Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","finite element analysis, design, software, autocad, engineers, solidworks, product development, prototyping, analysis, mechanical systems, mechanical design engineers, mechanical engineering, cad, components, manufacturing, functionality, engineering, safety"
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","incident response, network security, ethical hacking, administration, vulnerability assessment, skills, prevention, communication, intrusion detection, assessment, analysis, policies, security, firewall, problem, log analysis, protocols, hacking, vulnerability, communication skills, security incident response, ethical, security protocols"
Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.","sales, account management, strategy, sales strategy, skills, negotiation, building, management"
Brand Manager,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.,"cross-functional team, brand identity, product lifecycle management, collaboration, product launch, lifecycle, branding, marketing, segmentation, brand, management, product lines"
Social Worker,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.","crisis management, communication, family, collaboration, engagement, assessment, connect, family engagement, school social work, documentation, certification, individualized, licensing, crisis, special education, management, principles"
Social Media Coordinator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","design, seo, articles, video, skills, editing, management, video production, communication, storytelling, marketing, content, writing, analytics, creativity, optimization, communication skills, engagement, graphic design, reporting, adaptability communication, social media, content marketing"
Email Marketing Specialist,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","testing, communication, authentication, hygiene, spf, analysis, email, skills, communication skills, list, data, troubleshooting, metrics, data analysis"
HR Generalist,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.","communication, training programs, administrative, coordinators, hr coordinators, recruitment, onboarding, record maintenance, hr information systems, record keeping, skills, record, maintenance, communication skills, training, human resources, information systems, hris"
Legal Assistant,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","organization, computer skills, office, document management, administrative support, skills, management, correspondence, terminology, communication, multitasking, schedules, legal, administrative, transcription file organization communication, ms office, transcription, docketing, draft, calendar"
Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.","context, disease management, patient education, family, health, health assessment, assessment, family medicine, nurse practitioners, medicine, healthcare, management"
Account Director,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.","communication, campaign execution, account management, analysis, advertising, client accounts, skills, marketing, account strategists, optimization, communication skills, data, management, data analysis"
